Dataset,TargetType,Target,Methodology,Algorithm,Layer,ACCURACY,MCC
dataSubset500,transporter,nuclearreceptor,shallow,gb,Layer 1,0.7440401505646174,0.4717513905812005
dataSubset500,transporter,protease,shallow,gb,Layer 1,0.7452948557089084,0.4739540493809778
dataSubset500,transporter,ionchannel,fine-tuned,N/A,N/A,0.739021329987453,0.4758045963353672
dataSubset500,transporter,protease,fine-tuned,N/A,N/A,0.7409033877038896,0.46074592595912084
dataSubset500,transporter,gpcr,fine-tuned,N/A,N/A,0.7383939774153074,0.4532959666431785
dataSubset500,transporter,nuclearreceptor,fine-tuned,N/A,N/A,0.7358845671267252,0.4681147681504418
dataSubset500,transporter,kinase,fine-tuned,N/A,N/A,0.739021329987453,0.4846708615008179
dataSubset500,transporter,gpcr,freeze,N/A,N/A,0.7289836888331243,0.4447893676508983
dataSubset500,transporter,kinase,freeze,N/A,N/A,0.7296110414052698,0.45975453333348126
dataSubset500,transporter,ionchannel,freeze,N/A,N/A,0.7396486825595985,0.4566457745450593
dataSubset500,transporter,protease,freeze,N/A,N/A,0.7459222082810539,0.4708454383435432
dataSubset500,transporter,nuclearreceptor,freeze,N/A,N/A,0.7440401505646174,0.46899090539467864
dataSubset500,transporter,baseline,scratch,N/A,N/A,0.6994981179422836,0.41719755208894904
dataSubset500,transporter,gpcr,shallow,svm,Layer 1,0.7471769134253451,0.49534556927476764
dataSubset500,transporter,ionchannel,shallow,svm,Layer 1,0.7471769134253451,0.49534556927476764
dataSubset500,transporter,kinase,shallow,svm,Layer 0,0.7578419071518193,0.5070745207650976
dataSubset500,transporter,kinase,shallow,svm,Layer 1,0.7528230865746549,0.5046930200810764
dataSubset500,transporter,nuclearreceptor,shallow,svm,Layer 1,0.7471769134253451,0.49534556927476764
dataSubset500,transporter,protease,shallow,svm,Layer 1,0.7471769134253451,0.49534556927476764
dataSubset500,transporter,gpcr,shallow,rf,Layer 1,0.7427854454203262,0.47162792261816333
dataSubset500,transporter,ionchannel,shallow,rf,Layer 1,0.7471769134253451,0.4830696576840879
dataSubset500,transporter,kinase,shallow,rf,Layer 0,0.7515683814303639,0.48737775101065967
dataSubset500,transporter,kinase,shallow,rf,Layer 1,0.7415307402760352,0.46860784449785525
dataSubset500,transporter,nuclearreceptor,shallow,rf,Layer 1,0.7515683814303639,0.48858528613166624
dataSubset500,transporter,protease,shallow,rf,Layer 1,0.7396486825595985,0.4644980833190075
dataSubset500,transporter,gpcr,shallow,gb,Layer 1,0.7421580928481807,0.46804796564394474
dataSubset500,transporter,ionchannel,shallow,gb,Layer 1,0.7440401505646174,0.4717513905812005
dataSubset500,transporter,kinase,shallow,gb,Layer 0,0.7396486825595985,0.4653434902214322
dataSubset500,transporter,kinase,shallow,gb,Layer 1,0.7478042659974906,0.48546081652275996
dataSubset500,transporter,nuclearreceptor,shallow,gb,Layer 1,0.7440401505646174,0.4717513905812005
dataSubset500,transporter,protease,shallow,gb,Layer 1,0.7452948557089084,0.4739540493809778
dataSubset500,transporter,ionchannel,fine-tuned,N/A,N/A,0.739021329987453,0.4758045963353672
dataSubset500,transporter,protease,fine-tuned,N/A,N/A,0.7409033877038896,0.46074592595912084
dataSubset500,transporter,gpcr,fine-tuned,N/A,N/A,0.7383939774153074,0.4532959666431785
dataSubset500,transporter,nuclearreceptor,fine-tuned,N/A,N/A,0.7358845671267252,0.4681147681504418
dataSubset500,transporter,kinase,fine-tuned,N/A,N/A,0.739021329987453,0.4846708615008179
dataSubset500,transporter,gpcr,freeze,N/A,N/A,0.7289836888331243,0.4447893676508983
dataSubset500,transporter,kinase,freeze,N/A,N/A,0.7296110414052698,0.45975453333348126
dataSubset500,transporter,ionchannel,freeze,N/A,N/A,0.7396486825595985,0.4566457745450593
dataSubset500,transporter,protease,freeze,N/A,N/A,0.7459222082810539,0.4708454383435432
dataSubset500,transporter,nuclearreceptor,freeze,N/A,N/A,0.7440401505646174,0.46899090539467864
dataSubset500,transporter,baseline,scratch,N/A,N/A,0.6994981179422836,0.41719755208894904
